@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
213,6094,6,21606,207,0.99051,0.999016,0.22,0.999016,0.78,0.360592,0.992369,1.006698,0.013888
214,6094,6,21605,208,0.990464,0.999016,0.220008,0.999016,0.779992,0.360602,0.992333,1.006735,0.013944
215,6094,6,21604,209,0.990419,0.999016,0.220016,0.999016,0.779984,0.360613,0.992297,1.006771,0.014021
216,6094,6,21603,210,0.990373,0.999016,0.220024,0.999016,0.779976,0.360624,0.992262,1.006807,0.014032
217,6094,6,21602,211,0.990327,0.999016,0.220032,0.999016,0.779968,0.360634,0.992226,1.006844,0.014074
218,6094,6,21601,212,0.990281,0.999016,0.22004,0.999016,0.77996,0.360645,0.99219,1.00688,0.014112
219,6094,6,21599,214,0.990189,0.999016,0.220056,0.999016,0.779944,0.360666,0.992118,1.006953,0.014188
220,6094,6,21598,215,0.990143,0.999016,0.220064,0.999016,0.779936,0.360677,0.992083,1.006989,0.014209
221,6094,6,21597,216,0.990098,0.999016,0.220072,0.999016,0.779928,0.360688,0.992047,1.007026,0.01434
222,6094,6,21596,217,0.990052,0.999016,0.220079,0.999016,0.779921,0.360698,0.992011,1.007062,0.014425
223,6094,6,21595,218,0.990006,0.999016,0.220087,0.999016,0.779913,0.360709,0.991975,1.007098,0.014521
224,6094,6,21594,219,0.98996,0.999016,0.220095,0.999016,0.779905,0.36072,0.991939,1.007135,0.014533
225,6094,6,21593,220,0.989914,0.999016,0.220103,0.999016,0.779897,0.36073,0.991903,1.007171,0.014623
226,6094,6,21592,221,0.989868,0.999016,0.220111,0.999016,0.779889,0.360741,0.991868,1.007207,0.0147
227,6094,6,21591,222,0.989823,0.999016,0.220119,0.999016,0.779881,0.360752,0.991832,1.007244,0.014717
228,6094,6,21590,223,0.989777,0.999016,0.220127,0.999016,0.779873,0.360762,0.991796,1.00728,0.015048
229,6094,6,21589,224,0.989731,0.999016,0.220135,0.999016,0.779865,0.360773,0.99176,1.007317,0.015129
230,6094,6,21588,225,0.989685,0.999016,0.220143,0.999016,0.779857,0.360784,0.991724,1.007353,0.015216
