@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
106,7864,95,19286,668,0.966523,0.988064,0.28965,0.988064,0.71035,0.447976,0.972665,1.015832,0.002941
107,7864,95,19282,672,0.966323,0.988064,0.289693,0.988064,0.710307,0.448027,0.972522,1.015981,0.002961
108,7864,95,19281,673,0.966272,0.988064,0.289703,0.988064,0.710297,0.44804,0.972486,1.016019,0.002961
109,7864,95,19280,674,0.966222,0.988064,0.289714,0.988064,0.710286,0.448053,0.97245,1.016056,0.003023
110,7864,95,19279,675,0.966172,0.988064,0.289725,0.988064,0.710275,0.448066,0.972414,1.016093,0.003038
111,7864,95,19277,677,0.966072,0.988064,0.289746,0.988064,0.710254,0.448091,0.972343,1.016168,0.003077
112,7864,95,19276,678,0.966022,0.988064,0.289757,0.988064,0.710243,0.448104,0.972307,1.016206,0.003127
113,7864,95,19275,679,0.965972,0.988064,0.289767,0.988064,0.710233,0.448117,0.972271,1.016243,0.003304
114,7864,95,19274,680,0.965922,0.988064,0.289778,0.988064,0.710222,0.448129,0.972235,1.016281,0.003333
115,7864,95,19272,682,0.965821,0.988064,0.2898,0.988064,0.7102,0.448155,0.972164,1.016356,0.003333
116,7864,95,19271,683,0.965771,0.988064,0.28981,0.988064,0.71019,0.448168,0.972128,1.016393,0.003333
117,7864,95,19267,687,0.965571,0.988064,0.289853,0.988064,0.710147,0.448219,0.971984,1.016543,0.003333
118,7864,95,19265,689,0.965471,0.988064,0.289874,0.988064,0.710126,0.448244,0.971913,1.016618,0.003333
119,7864,95,19264,690,0.96542,0.988064,0.289885,0.988064,0.710115,0.448257,0.971877,1.016655,0.003409
120,7864,95,19263,691,0.96537,0.988064,0.289896,0.988064,0.710104,0.44827,0.971841,1.016693,0.003442
121,7864,95,19262,692,0.96532,0.988064,0.289906,0.988064,0.710094,0.448283,0.971805,1.01673,0.003468
122,7863,96,19262,692,0.96532,0.987938,0.28988,0.987938,0.71012,0.448239,0.971769,1.016638,0.003478
123,7862,97,19261,693,0.96527,0.987813,0.289865,0.987813,0.710135,0.448207,0.971698,1.016584,0.003494
124,7862,97,19260,694,0.96522,0.987813,0.289875,0.987813,0.710125,0.44822,0.971662,1.016622,0.0035
125,7862,97,19259,695,0.96517,0.987813,0.289886,0.987813,0.710114,0.448233,0.971626,1.016659,0.003556
126,7862,97,19258,696,0.96512,0.987813,0.289897,0.987813,0.710103,0.448245,0.97159,1.016697,0.003571
127,7861,98,19258,696,0.96512,0.987687,0.289871,0.987687,0.710129,0.448201,0.971554,1.016605,0.003611
128,7861,98,19257,697,0.96507,0.987687,0.289881,0.987687,0.710119,0.448214,0.971519,1.016642,0.00367
129,7861,98,19256,698,0.96502,0.987687,0.289892,0.987687,0.710108,0.448227,0.971483,1.01668,0.003717
130,7861,98,19255,699,0.964969,0.987687,0.289903,0.987687,0.710097,0.448239,0.971447,1.016717,0.003743
131,7861,98,19254,700,0.964919,0.987687,0.289913,0.987687,0.710087,0.448252,0.971411,1.016755,0.003749
132,7861,98,19253,701,0.964869,0.987687,0.289924,0.987687,0.710076,0.448265,0.971375,1.016792,0.00375
133,7860,99,19252,702,0.964819,0.987561,0.289909,0.987561,0.710091,0.448234,0.971304,1.016738,0.003769
134,7860,99,19250,704,0.964719,0.987561,0.28993,0.987561,0.71007,0.448259,0.971232,1.016813,0.003774
135,7860,99,19249,705,0.964669,0.987561,0.289941,0.987561,0.710059,0.448272,0.971196,1.01685,0.003774
136,7860,99,19248,706,0.964619,0.987561,0.289951,0.987561,0.710049,0.448285,0.97116,1.016888,0.003785
137,7860,99,19247,707,0.964569,0.987561,0.289962,0.987561,0.710038,0.448297,0.971125,1.016925,0.003806
138,7860,99,19246,708,0.964518,0.987561,0.289973,0.987561,0.710027,0.44831,0.971089,1.016963,0.003818
139,7859,100,19246,708,0.964518,0.987436,0.289947,0.987436,0.710053,0.448266,0.971053,1.016871,0.003833
140,7859,100,19245,709,0.964468,0.987436,0.289957,0.987436,0.710043,0.448279,0.971017,1.016909,0.003854
141,7859,100,19244,710,0.964418,0.987436,0.289968,0.987436,0.710032,0.448292,0.970981,1.016946,0.003864
142,7859,100,19243,711,0.964368,0.987436,0.289979,0.987436,0.710021,0.448304,0.970945,1.016984,0.003887
143,7859,100,19242,712,0.964318,0.987436,0.289989,0.987436,0.710011,0.448317,0.97091,1.017021,0.003929
144,7859,100,19241,713,0.964268,0.987436,0.29,0.987436,0.71,0.44833,0.970874,1.017059,0.003929
145,7859,100,19240,714,0.964218,0.987436,0.290011,0.987436,0.709989,0.448343,0.970838,1.017096,0.003947
146,7859,100,19239,715,0.964168,0.987436,0.290021,0.987436,0.709979,0.448356,0.970802,1.017134,0.00395
147,7859,100,19238,716,0.964117,0.987436,0.290032,0.987436,0.709968,0.448368,0.970766,1.017171,0.003963
148,7859,100,19236,718,0.964017,0.987436,0.290054,0.987436,0.709946,0.448394,0.970695,1.017246,0.004
149,7859,100,19234,720,0.963917,0.987436,0.290075,0.987436,0.709925,0.448419,0.970623,1.017321,0.004125
150,7858,101,19234,720,0.963917,0.98731,0.290049,0.98731,0.709951,0.448375,0.970587,1.01723,0.004128
151,7857,102,19234,720,0.963917,0.987184,0.290023,0.987184,0.709977,0.448331,0.970551,1.017138,0.004167
152,7857,102,19233,721,0.963867,0.987184,0.290033,0.987184,0.709967,0.448344,0.970516,1.017175,0.004172
153,7857,102,19232,722,0.963817,0.987184,0.290044,0.987184,0.709956,0.448357,0.97048,1.017213,0.004208
154,7857,102,19231,723,0.963767,0.987184,0.290055,0.987184,0.709945,0.448369,0.970444,1.01725,0.004255
155,7857,102,19230,724,0.963717,0.987184,0.290065,0.987184,0.709935,0.448382,0.970408,1.017288,0.004286
156,7856,103,19230,724,0.963717,0.987059,0.290039,0.987059,0.709961,0.448338,0.970372,1.017196,0.004292
157,7856,103,19229,725,0.963666,0.987059,0.29005,0.987059,0.70995,0.448351,0.970336,1.017233,0.004348
158,7855,104,19229,725,0.963666,0.986933,0.290024,0.986933,0.709976,0.448306,0.970301,1.017142,0.004371
159,7855,104,19227,727,0.963566,0.986933,0.290045,0.986933,0.709955,0.448332,0.970229,1.017217,0.004413
160,7854,105,19227,727,0.963566,0.986807,0.290019,0.986807,0.709981,0.448288,0.970193,1.017125,0.004444
161,7854,105,19226,728,0.963516,0.986807,0.29003,0.986807,0.70997,0.4483,0.970157,1.017162,0.004462
162,7854,105,19225,729,0.963466,0.986807,0.29004,0.986807,0.70996,0.448313,0.970121,1.0172,0.004519
163,7854,105,19224,730,0.963416,0.986807,0.290051,0.986807,0.709949,0.448326,0.970086,1.017237,0.004533
164,7854,105,19223,731,0.963366,0.986807,0.290062,0.986807,0.709938,0.448339,0.97005,1.017275,0.004564
165,7854,105,19221,733,0.963266,0.986807,0.290083,0.986807,0.709917,0.448364,0.969978,1.01735,0.004623
166,7854,105,19220,734,0.963215,0.986807,0.290094,0.986807,0.709906,0.448377,0.969942,1.017388,0.004738
167,7854,105,19219,735,0.963165,0.986807,0.290105,0.986807,0.709895,0.44839,0.969906,1.017425,0.004748
168,7853,106,19219,735,0.963165,0.986682,0.290078,0.986682,0.709922,0.448346,0.969871,1.017333,0.004762
169,7853,106,19218,736,0.963115,0.986682,0.290089,0.986682,0.709911,0.448359,0.969835,1.017371,0.004792
170,7852,107,19218,736,0.963115,0.986556,0.290063,0.986556,0.709937,0.448314,0.969799,1.017279,0.00482
171,7852,107,19217,737,0.963065,0.986556,0.290074,0.986556,0.709926,0.448327,0.969763,1.017317,0.004853
172,7852,107,19216,738,0.963015,0.986556,0.290084,0.986556,0.709916,0.44834,0.969727,1.017354,0.004865
173,7852,107,19215,739,0.962965,0.986556,0.290095,0.986556,0.709905,0.448353,0.969692,1.017392,0.004909
174,7851,108,19215,739,0.962965,0.98643,0.290069,0.98643,0.709931,0.448308,0.969656,1.0173,0.004955
175,7851,108,19213,741,0.962865,0.98643,0.29009,0.98643,0.70991,0.448334,0.969584,1.017375,0.004956
176,7851,108,19212,742,0.962814,0.98643,0.290101,0.98643,0.709899,0.448347,0.969548,1.017412,0.004997
177,7851,108,19211,743,0.962764,0.98643,0.290112,0.98643,0.709888,0.44836,0.969512,1.01745,0.005
178,7851,108,19206,748,0.962514,0.98643,0.290165,0.98643,0.709835,0.448424,0.969333,1.017638,0.005
179,7850,109,19205,749,0.962464,0.986305,0.29015,0.986305,0.70985,0.448392,0.969262,1.017584,0.005031
180,7850,109,19204,750,0.962414,0.986305,0.29016,0.986305,0.70984,0.448405,0.969226,1.017621,0.00504
181,7850,109,19203,751,0.962363,0.986305,0.290171,0.986305,0.709829,0.448418,0.96919,1.017659,0.005086
182,7850,109,19202,752,0.962313,0.986305,0.290182,0.986305,0.709818,0.44843,0.969154,1.017697,0.005108
183,7850,109,19201,753,0.962263,0.986305,0.290193,0.986305,0.709807,0.448443,0.969118,1.017734,0.005143
184,7850,109,19200,754,0.962213,0.986305,0.290203,0.986305,0.709797,0.448456,0.969083,1.017772,0.005179
185,7850,109,19199,755,0.962163,0.986305,0.290214,0.986305,0.709786,0.448469,0.969047,1.017809,0.005192
186,7849,110,19197,757,0.962063,0.986179,0.290209,0.986179,0.709791,0.44845,0.968939,1.017793,0.005205
187,7849,110,19196,758,0.962013,0.986179,0.29022,0.986179,0.70978,0.448463,0.968903,1.01783,0.005263
188,7849,110,19195,759,0.961963,0.986179,0.290231,0.986179,0.709769,0.448476,0.968868,1.017868,0.005283
189,7849,110,19194,760,0.961912,0.986179,0.290241,0.986179,0.709759,0.448489,0.968832,1.017906,0.005284
190,7849,110,19193,761,0.961862,0.986179,0.290252,0.986179,0.709748,0.448501,0.968796,1.017943,0.005333
191,7849,110,19192,762,0.961812,0.986179,0.290263,0.986179,0.709737,0.448514,0.96876,1.017981,0.005352
192,7849,110,19191,763,0.961762,0.986179,0.290274,0.986179,0.709726,0.448527,0.968724,1.018018,0.005525
193,7849,110,19190,764,0.961712,0.986179,0.290284,0.986179,0.709716,0.44854,0.968688,1.018056,0.005568
194,7849,110,19189,765,0.961662,0.986179,0.290295,0.986179,0.709705,0.448553,0.968653,1.018094,0.005577
195,7848,111,19189,765,0.961662,0.986054,0.290269,0.986054,0.709731,0.448508,0.968617,1.018002,0.005595
196,7848,111,19188,766,0.961612,0.986054,0.29028,0.986054,0.70972,0.448521,0.968581,1.018039,0.005597
197,7848,111,19187,767,0.961562,0.986054,0.29029,0.986054,0.70971,0.448534,0.968545,1.018077,0.005625
198,7848,111,19186,768,0.961511,0.986054,0.290301,0.986054,0.709699,0.448547,0.968509,1.018115,0.005681
199,7848,111,19185,769,0.961461,0.986054,0.290312,0.986054,0.709688,0.44856,0.968473,1.018152,0.005714
200,7847,112,19184,770,0.961411,0.985928,0.290296,0.985928,0.709704,0.448528,0.968402,1.018098,0.005741
201,7847,112,19183,771,0.961361,0.985928,0.290307,0.985928,0.709693,0.448541,0.968366,1.018136,0.00575
202,7847,112,19182,772,0.961311,0.985928,0.290318,0.985928,0.709682,0.448554,0.96833,1.018173,0.005833
203,7847,112,19181,773,0.961261,0.985928,0.290329,0.985928,0.709671,0.448567,0.968294,1.018211,0.005833
204,7847,112,19180,774,0.961211,0.985928,0.290339,0.985928,0.709661,0.448579,0.968259,1.018249,0.005833
205,7847,112,19179,775,0.961161,0.985928,0.29035,0.985928,0.70965,0.448592,0.968223,1.018286,0.006
206,7846,113,19178,776,0.961111,0.985802,0.290335,0.985802,0.709665,0.448561,0.968151,1.018232,0.006
207,7846,113,19177,777,0.96106,0.985802,0.290345,0.985802,0.709655,0.448574,0.968115,1.01827,0.006014
208,7846,113,19176,778,0.96101,0.985802,0.290356,0.985802,0.709644,0.448586,0.968079,1.018307,0.006032
209,7846,113,19175,779,0.96096,0.985802,0.290367,0.985802,0.709633,0.448599,0.968044,1.018345,0.006055
210,7846,113,19174,780,0.96091,0.985802,0.290377,0.985802,0.709623,0.448612,0.968008,1.018383,0.00606
211,7846,113,19173,781,0.96086,0.985802,0.290388,0.985802,0.709612,0.448625,0.967972,1.01842,0.006095
212,7846,113,19172,782,0.96081,0.985802,0.290399,0.985802,0.709601,0.448638,0.967936,1.018458,0.006129
213,7846,113,19170,784,0.96071,0.985802,0.29042,0.985802,0.70958,0.448663,0.967864,1.018533,0.006162
214,7846,113,19169,785,0.96066,0.985802,0.290431,0.985802,0.709569,0.448676,0.967829,1.018571,0.006188
215,7846,113,19168,786,0.960609,0.985802,0.290442,0.985802,0.709558,0.448689,0.967793,1.018609,0.00619
216,7846,113,19167,787,0.960559,0.985802,0.290453,0.985802,0.709547,0.448702,0.967757,1.018646,0.006229
217,7845,114,19167,787,0.960559,0.985677,0.290426,0.985677,0.709574,0.448657,0.967721,1.018554,0.00623
218,7845,114,19166,788,0.960509,0.985677,0.290437,0.985677,0.709563,0.44867,0.967685,1.018592,0.00625
219,7844,115,19165,789,0.960459,0.985551,0.290422,0.985551,0.709578,0.448639,0.967614,1.018538,0.006341
220,7843,116,19165,789,0.960459,0.985425,0.290395,0.985425,0.709605,0.448594,0.967578,1.018446,0.006429
221,7843,116,19164,790,0.960409,0.985425,0.290406,0.985425,0.709594,0.448607,0.967542,1.018483,0.006437
222,7843,116,19163,791,0.960359,0.985425,0.290417,0.985425,0.709583,0.44862,0.967506,1.018521,0.006463
223,7843,116,19162,792,0.960309,0.985425,0.290428,0.985425,0.709572,0.448633,0.96747,1.018559,0.006486
224,7843,116,19161,793,0.960259,0.985425,0.290438,0.985425,0.709562,0.448646,0.967435,1.018596,0.006566
225,7843,116,19160,794,0.960208,0.985425,0.290449,0.985425,0.709551,0.448659,0.967399,1.018634,0.006667
226,7843,116,19159,795,0.960158,0.985425,0.29046,0.985425,0.70954,0.448671,0.967363,1.018672,0.006667
227,7843,116,19155,799,0.959958,0.985425,0.290503,0.985425,0.709497,0.448723,0.96722,1.018823,0.006786
228,7843,116,19154,800,0.959908,0.985425,0.290514,0.985425,0.709486,0.448736,0.967184,1.01886,0.00683
229,7842,117,19153,801,0.959858,0.9853,0.290498,0.9853,0.709502,0.448704,0.967112,1.018806,0.006985
230,7842,117,19152,802,0.959808,0.9853,0.290509,0.9853,0.709491,0.448717,0.967076,1.018844,0.00699
