@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
131,13776,78,13819,240,0.982929,0.99437,0.499221,0.99437,0.500779,0.66472,0.988607,1.005829,0.014745
132,13776,78,13818,241,0.982858,0.99437,0.499239,0.99437,0.500761,0.664737,0.988572,1.005865,0.014897
133,13776,78,13817,242,0.982787,0.99437,0.499257,0.99437,0.500743,0.664753,0.988536,1.005902,0.015
134,13776,78,13816,243,0.982716,0.99437,0.499275,0.99437,0.500725,0.664769,0.9885,1.005938,0.015
135,13775,79,13812,247,0.982431,0.994298,0.499329,0.994298,0.500671,0.664801,0.988321,1.006047,0.015
136,13775,79,13811,248,0.98236,0.994298,0.499347,0.994298,0.500653,0.664817,0.988285,1.006084,0.015254
137,13775,79,13810,249,0.982289,0.994298,0.499366,0.994298,0.500634,0.664833,0.988249,1.00612,0.015279
138,13775,79,13809,250,0.982218,0.994298,0.499384,0.994298,0.500616,0.664849,0.988213,1.006157,0.015411
139,13774,80,13809,250,0.982218,0.994225,0.499366,0.994225,0.500634,0.664816,0.988178,1.00612,0.015606
140,13774,80,13808,251,0.982147,0.994225,0.499384,0.994225,0.500616,0.664833,0.988142,1.006157,0.015625
141,13773,81,13808,251,0.982147,0.994153,0.499366,0.994153,0.500634,0.6648,0.988106,1.00612,0.015636
142,13773,81,13807,252,0.982076,0.994153,0.499384,0.994153,0.500616,0.664816,0.98807,1.006157,0.015653
143,13773,81,13806,253,0.982004,0.994153,0.499402,0.994153,0.500598,0.664832,0.988034,1.006193,0.015841
144,13772,82,13806,253,0.982004,0.994081,0.499384,0.994081,0.500616,0.6648,0.987998,1.006157,0.015856
145,13771,83,13806,253,0.982004,0.994009,0.499365,0.994009,0.500635,0.664768,0.987963,1.00612,0.016
146,13771,83,13805,254,0.981933,0.994009,0.499384,0.994009,0.500616,0.664784,0.987927,1.006157,0.01613
147,13771,83,13804,255,0.981862,0.994009,0.499402,0.994009,0.500598,0.6648,0.987891,1.006193,0.01625
148,13771,83,13802,257,0.98172,0.994009,0.499438,0.994009,0.500562,0.664832,0.987819,1.006266,0.016262
149,13770,84,13802,257,0.98172,0.993937,0.49942,0.993937,0.50058,0.6648,0.987783,1.006229,0.016333
150,13770,84,13801,258,0.981649,0.993937,0.499438,0.993937,0.500562,0.664816,0.987748,1.006266,0.016508
151,13770,84,13800,259,0.981578,0.993937,0.499456,0.993937,0.500544,0.664832,0.987712,1.006302,0.016667
152,13769,85,13800,259,0.981578,0.993865,0.499438,0.993865,0.500562,0.6648,0.987676,1.006266,0.016667
153,13769,85,13799,260,0.981507,0.993865,0.499456,0.993865,0.500544,0.664816,0.98764,1.006302,0.016683
154,13769,85,13798,261,0.981435,0.993865,0.499474,0.993865,0.500526,0.664832,0.987604,1.006339,0.016702
155,13768,86,13798,261,0.981435,0.993792,0.499456,0.993792,0.500544,0.6648,0.987569,1.006302,0.017
156,13767,87,13797,262,0.981364,0.99372,0.499456,0.99372,0.500544,0.664783,0.987497,1.006302,0.017123
157,13766,88,13797,262,0.981364,0.993648,0.499438,0.993648,0.500562,0.664751,0.987461,1.006266,0.017143
158,13765,89,13797,262,0.981364,0.993576,0.499419,0.993576,0.500581,0.664719,0.987425,1.006229,0.017175
159,13765,89,13795,264,0.981222,0.993576,0.499456,0.993576,0.500544,0.664751,0.987354,1.006302,0.017346
160,13764,90,13795,264,0.981222,0.993504,0.499438,0.993504,0.500562,0.664719,0.987318,1.006265,0.017361
161,13764,90,13794,265,0.981151,0.993504,0.499456,0.993504,0.500544,0.664735,0.987282,1.006302,0.01744
162,13763,91,13794,265,0.981151,0.993431,0.499438,0.993431,0.500562,0.664703,0.987246,1.006265,0.0175
163,13762,92,13793,266,0.98108,0.993359,0.499437,0.993359,0.500563,0.664686,0.987174,1.006265,0.018061
164,13762,92,13792,267,0.981009,0.993359,0.499456,0.993359,0.500544,0.664702,0.987139,1.006302,0.018125
165,13762,92,13791,268,0.980937,0.993359,0.499474,0.993359,0.500526,0.664719,0.987103,1.006338,0.018333
166,13761,93,13791,268,0.980937,0.993287,0.499456,0.993287,0.500544,0.664686,0.987067,1.006302,0.018394
167,13760,94,13791,268,0.980937,0.993215,0.499437,0.993215,0.500563,0.664654,0.987031,1.006265,0.018413
168,13760,94,13790,269,0.980866,0.993215,0.499456,0.993215,0.500544,0.66467,0.986995,1.006302,0.01847
169,13760,94,13789,270,0.980795,0.993215,0.499474,0.993215,0.500526,0.664686,0.986959,1.006338,0.0185
170,13760,94,13788,271,0.980724,0.993215,0.499492,0.993215,0.500508,0.664702,0.986924,1.006375,0.018705
171,13760,94,13787,272,0.980653,0.993215,0.49951,0.993215,0.50049,0.664718,0.986888,1.006411,0.018789
172,13759,95,13787,272,0.980653,0.993143,0.499492,0.993143,0.500508,0.664686,0.986852,1.006375,0.018899
