@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
86,13833,21,13993,66,0.995305,0.998484,0.497125,0.998484,0.502875,0.663772,0.996883,1.001606,0
87,13833,21,13992,67,0.995234,0.998484,0.497143,0.998484,0.502857,0.663788,0.996847,1.001642,0
88,13832,22,13992,67,0.995234,0.998412,0.497125,0.998412,0.502875,0.663755,0.996812,1.001606,0
89,13831,23,13992,67,0.995234,0.99834,0.497107,0.99834,0.502893,0.663723,0.996776,1.001569,0
90,13830,24,13992,67,0.995234,0.998268,0.497089,0.998268,0.502911,0.663691,0.99674,1.001533,0
91,13829,25,13992,67,0.995234,0.998195,0.497071,0.998195,0.502929,0.663659,0.996704,1.001496,0
92,13828,26,13992,67,0.995234,0.998123,0.497052,0.998123,0.502948,0.663627,0.996668,1.00146,0
93,13828,26,13991,68,0.995163,0.998123,0.49707,0.998123,0.50293,0.663643,0.996632,1.001496,0
94,13828,26,13990,69,0.995092,0.998123,0.497088,0.998123,0.502912,0.663659,0.996597,1.001532,0
95,13827,27,13990,69,0.995092,0.998051,0.49707,0.998051,0.50293,0.663627,0.996561,1.001496,0
96,13827,27,13989,70,0.995021,0.998051,0.497088,0.998051,0.502912,0.663643,0.996525,1.001532,0
97,13827,27,13988,71,0.99495,0.998051,0.497106,0.998051,0.502894,0.663659,0.996489,1.001568,0
98,13827,27,13987,72,0.994879,0.998051,0.497124,0.998051,0.502876,0.663675,0.996453,1.001604,0
99,13827,27,13986,73,0.994808,0.998051,0.497142,0.998051,0.502858,0.663691,0.996417,1.00164,0
100,13826,28,13986,73,0.994808,0.997979,0.497124,0.997979,0.502876,0.663659,0.996382,1.001603,0
101,13825,29,13986,73,0.994808,0.997907,0.497105,0.997907,0.502895,0.663627,0.996346,1.001567,0
102,13825,29,13985,74,0.994736,0.997907,0.497123,0.997907,0.502877,0.663642,0.99631,1.001603,0
103,13825,29,13984,75,0.994665,0.997907,0.497141,0.997907,0.502859,0.663658,0.996274,1.001639,0
104,13825,29,13983,76,0.994594,0.997907,0.497159,0.997907,0.502841,0.663674,0.996238,1.001675,0
105,13825,29,13982,77,0.994523,0.997907,0.497177,0.997907,0.502823,0.66369,0.996202,1.001711,0
106,13824,30,13982,77,0.994523,0.997835,0.497159,0.997835,0.502841,0.663658,0.996167,1.001674,0
107,13824,30,13981,78,0.994452,0.997835,0.497177,0.997835,0.502823,0.663674,0.996131,1.00171,0
108,13824,30,13980,79,0.994381,0.997835,0.497195,0.997835,0.502805,0.66369,0.996095,1.001746,0
109,13824,30,13979,80,0.99431,0.997835,0.497213,0.997835,0.502787,0.663706,0.996059,1.001782,0
110,13824,30,13978,81,0.994239,0.997835,0.49723,0.997835,0.50277,0.663722,0.996023,1.001818,0
111,13824,30,13977,82,0.994167,0.997835,0.497248,0.997835,0.502752,0.663738,0.995988,1.001854,0
112,13824,30,13976,83,0.994096,0.997835,0.497266,0.997835,0.502734,0.663754,0.995952,1.001891,0
113,13824,30,13975,84,0.994025,0.997835,0.497284,0.997835,0.502716,0.66377,0.995916,1.001927,0
114,13823,31,13975,84,0.994025,0.997762,0.497266,0.997762,0.502734,0.663738,0.99588,1.00189,0
115,13823,31,13974,85,0.993954,0.997762,0.497284,0.997762,0.502716,0.663754,0.995844,1.001926,0
116,13823,31,13973,86,0.993883,0.997762,0.497302,0.997762,0.502698,0.66377,0.995808,1.001962,0
117,13822,32,13973,86,0.993883,0.99769,0.497284,0.99769,0.502716,0.663737,0.995773,1.001926,0
118,13822,32,13972,87,0.993812,0.99769,0.497302,0.99769,0.502698,0.663753,0.995737,1.001962,0
119,13822,32,13971,88,0.993741,0.99769,0.497319,0.99769,0.502681,0.663769,0.995701,1.001998,0
120,13822,32,13970,89,0.99367,0.99769,0.497337,0.99769,0.502663,0.663785,0.995665,1.002034,0
121,13821,33,13970,89,0.99367,0.997618,0.497319,0.997618,0.502681,0.663753,0.995629,1.001997,0
122,13821,33,13969,90,0.993598,0.997618,0.497337,0.997618,0.502663,0.663769,0.995593,1.002034,0
123,13821,33,13968,91,0.993527,0.997618,0.497355,0.997618,0.502645,0.663785,0.995558,1.00207,0
124,13820,34,13968,91,0.993527,0.997546,0.497337,0.997546,0.502663,0.663753,0.995522,1.002033,0
125,13820,34,13967,92,0.993456,0.997546,0.497355,0.997546,0.502645,0.663769,0.995486,1.002069,0
126,13820,34,13966,93,0.993385,0.997546,0.497373,0.997546,0.502627,0.663785,0.99545,1.002105,0
127,13819,35,13966,93,0.993385,0.997474,0.497355,0.997474,0.502645,0.663753,0.995414,1.002069,0
128,13819,35,13965,94,0.993314,0.997474,0.497373,0.997474,0.502627,0.663769,0.995378,1.002105,0
129,13819,35,13964,95,0.993243,0.997474,0.49739,0.997474,0.50261,0.663785,0.995343,1.002141,0
130,13818,36,13964,95,0.993243,0.997401,0.497372,0.997401,0.502628,0.663753,0.995307,1.002105,0
131,13818,36,13963,96,0.993172,0.997401,0.49739,0.997401,0.50261,0.663768,0.995271,1.002141,0
132,13817,37,13963,96,0.993172,0.997329,0.497372,0.997329,0.502628,0.663736,0.995235,1.002104,0
133,13816,38,13963,96,0.993172,0.997257,0.497354,0.997257,0.502646,0.663704,0.995199,1.002068,0
134,13815,39,13963,96,0.993172,0.997185,0.497336,0.997185,0.502664,0.663672,0.995164,1.002031,0
135,13814,40,13963,96,0.993172,0.997113,0.497318,0.997113,0.502682,0.66364,0.995128,1.001995,0
136,13814,40,13962,97,0.993101,0.997113,0.497336,0.997113,0.502664,0.663656,0.995092,1.002031,0
137,13814,40,13961,98,0.993029,0.997113,0.497354,0.997113,0.502646,0.663672,0.995056,1.002067,0
138,13813,41,13961,98,0.993029,0.997041,0.497336,0.997041,0.502664,0.66364,0.99502,1.00203,0
139,13813,41,13960,99,0.992958,0.997041,0.497354,0.997041,0.502646,0.663656,0.994984,1.002067,0
140,13813,41,13959,100,0.992887,0.997041,0.497371,0.997041,0.502629,0.663672,0.994949,1.002103,0
141,13812,42,13959,100,0.992887,0.996968,0.497353,0.996968,0.502647,0.66364,0.994913,1.002066,0
